Candidates,Voters,Dispersion,Voting Method,L=1,L=2,L=3,L=4,L=5,L=6,L=7
4,600,0.8,Coombs,0.981,0.998,1.0,1.0,0,0,0
4,600,0.9,Schulze,0.85,0.929,1.0,1.0,0,0,0
4,600,0.9,Bucklin,0.796,1.0,1.0,1.0,0,0,0
4,600,0.9,Plurality With Runoff,0.856,0.931,1.0,1.0,0,0,0
4,600,0.9,Coombs,0.846,0.92,1.0,1.0,0,0,0
4,600,1,Schulze,0.567,0.759,1.0,1.0,0,0,0
4,600,1,Bucklin,0.477,1.0,1.0,1.0,0,0,0
4,600,1,Plurality With Runoff,0.633,0.814,1.0,1.0,0,0,0
4,600,1,Coombs,0.485,0.661,1.0,1.0,0,0,0
4,2000,0.7,Schulze,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.7,Bucklin,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.7,Plurality With Runoff,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.7,Coombs,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.8,Schulze,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.8,Bucklin,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.8,Plurality With Runoff,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.8,Coombs,1.0,1.0,1.0,1.0,0,0,0
4,2000,0.9,Schulze,0.957,0.985,1.0,1.0,0,0,0
4,2000,0.9,Bucklin,0.936,1.0,1.0,1.0,0,0,0
4,2000,0.9,Plurality With Runoff,0.957,0.985,1.0,1.0,0,0,0
4,2000,0.9,Coombs,0.957,0.985,1.0,1.0,0,0,0
4,2000,1,Schulze,0.57,0.756,1.0,1.0,0,0,0
4,2000,1,Bucklin,0.468,1.0,1.0,1.0,0,0,0
4,2000,1,Plurality With Runoff,0.647,0.832,1.0,1.0,0,0,0
4,2000,1,Coombs,0.493,0.674,1.0,1.0,0,0,0
5,100,0.7,Schulze,0.919,0.968,0.985,1.0,1.0,0,0
5,100,0.7,Bucklin,0.881,0.996,1.0,1.0,1.0,0,0
5,100,0.7,Plurality With Runoff,0.919,0.969,0.984,1.0,1.0,0,0
5,100,0.7,Coombs,0.918,0.967,0.983,1.0,1.0,0,0
5,100,0.8,Schulze,0.801,0.887,0.94,1.0,1.0,0,0
5,100,0.8,Bucklin,0.747,0.914,1.0,1.0,1.0,0,0
5,100,0.8,Plurality With Runoff,0.816,0.898,0.938,1.0,1.0,0,0
5,100,0.8,Coombs,0.791,0.871,0.93,1.0,1.0,0,0
5,100,0.9,Schulze,0.603,0.71,0.824,1.0,1.0,0,0
5,100,0.9,Bucklin,0.504,0.629,1.0,1.0,1.0,0,0
5,100,0.9,Plurality With Runoff,0.651,0.782,0.861,1.0,1.0,0,0
5,100,0.9,Coombs,0.555,0.677,0.767,1.0,1.0,0,0
5,100,1,Schulze,0.456,0.618,0.776,1.0,1.0,0,0
5,100,1,Bucklin,0.317,0.481,1.0,1.0,1.0,0,0
5,100,1,Plurality With Runoff,0.546,0.698,0.83,1.0,1.0,0,0
5,100,1,Coombs,0.384,0.515,0.638,1.0,1.0,0,0
5,200,0.7,Schulze,0.976,0.992,0.994,1.0,1.0,0,0
5,200,0.7,Bucklin,0.962,1.0,1.0,1.0,1.0,0,0
5,200,0.7,Plurality With Runoff,0.976,0.992,0.994,1.0,1.0,0,0
5,200,0.7,Coombs,0.976,0.992,0.994,1.0,1.0,0,0
5,200,0.8,Schulze,0.851,0.935,0.957,1.0,1.0,0,0
5,200,0.8,Bucklin,0.82,0.956,1.0,1.0,1.0,0,0
5,200,0.8,Plurality With Runoff,0.853,0.935,0.957,1.0,1.0,0,0
5,200,0.8,Coombs,0.85,0.933,0.956,1.0,1.0,0,0
5,200,0.9,Schulze,0.639,0.802,0.882,1.0,1.0,0,0
5,200,0.9,Bucklin,0.548,0.673,1.0,1.0,1.0,0,0
5,200,0.9,Plurality With Runoff,0.685,0.843,0.905,1.0,1.0,0,0
5,200,0.9,Coombs,0.614,0.764,0.851,1.0,1.0,0,0
5,200,1,Schulze,0.466,0.611,0.765,1.0,1.0,0,0
5,200,1,Bucklin,0.317,0.46,1.0,1.0,1.0,0,0
5,200,1,Plurality With Runoff,0.573,0.733,0.845,1.0,1.0,0,0
5,200,1,Coombs,0.384,0.497,0.651,1.0,1.0,0,0
5,300,0.7,Schulze,0.99,0.997,1.0,1.0,1.0,0,0
5,300,0.7,Bucklin,0.985,1.0,1.0,1.0,1.0,0,0
5,300,0.7,Plurality With Runoff,0.99,0.997,1.0,1.0,1.0,0,0
5,300,0.7,Coombs,0.99,0.997,1.0,1.0,1.0,0,0
5,300,0.8,Schulze,0.912,0.965,0.985,1.0,1.0,0,0
5,300,0.8,Bucklin,0.884,0.973,1.0,1.0,1.0,0,0
5,300,0.8,Plurality With Runoff,0.912,0.965,0.985,1.0,1.0,0,0
5,300,0.8,Coombs,0.912,0.965,0.985,1.0,1.0,0,0
5,300,0.9,Schulze,0.696,0.838,0.909,1.0,1.0,0,0
5,300,0.9,Bucklin,0.605,0.737,1.0,1.0,1.0,0,0
5,300,0.9,Plurality With Runoff,0.729,0.863,0.919,1.0,1.0,0,0
5,300,0.9,Coombs,0.681,0.809,0.882,1.0,1.0,0,0
5,300,1,Schulze,0.486,0.637,0.766,1.0,1.0,0,0
5,300,1,Bucklin,0.332,0.462,1.0,1.0,1.0,0,0
5,300,1,Plurality With Runoff,0.589,0.707,0.852,1.0,1.0,0,0
5,300,1,Coombs,0.408,0.548,0.66,1.0,1.0,0,0
5,400,0.7,Schulze,0.995,1.0,1.0,1.0,1.0,0,0
5,400,0.7,Bucklin,0.995,1.0,1.0,1.0,1.0,0,0
5,400,0.7,Plurality With Runoff,0.995,1.0,1.0,1.0,1.0,0,0
5,400,0.7,Coombs,0.995,1.0,1.0,1.0,1.0,0,0
5,400,0.8,Schulze,0.946,0.981,0.991,1.0,1.0,0,0
5,400,0.8,Bucklin,0.933,0.981,1.0,1.0,1.0,0,0
5,400,0.8,Plurality With Runoff,0.946,0.981,0.991,1.0,1.0,0,0
5,400,0.8,Coombs,0.946,0.981,0.991,1.0,1.0,0,0
5,400,0.9,Schulze,0.749,0.842,0.925,1.0,1.0,0,0
5,400,0.9,Bucklin,0.663,0.75,1.0,1.0,1.0,0,0
5,400,0.9,Plurality With Runoff,0.778,0.858,0.925,1.0,1.0,0,0
5,400,0.9,Coombs,0.734,0.824,0.907,1.0,1.0,0,0
5,400,1,Schulze,0.476,0.609,0.751,1.0,1.0,0,0
